Item LC 116;Descrição Item;NBS;DESCRIÇÃO NBS;INDOP;Local incidência IBS;cClassTrib;nome cClassTrib;;
01.06;Assessoria E Consultoria Em Informática.;1.1510.00.00;Serviços de tecnologia da informação (TI) não classificados em subposições anteriores;100301;Domicílio principal do adquirente;200044;Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI);;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1501.30.00;Serviços de suporte em tecnologia da informação (TI) ;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1501.30.00;Serviços de suporte em tecnologia da informação (TI) ;050102;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1501.30.00;Serviços de suporte em tecnologia da informação (TI) ;050103;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1501.30.00;Serviços de suporte em tecnologia da informação (TI) ;050104;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1501.30.00;Serviços de suporte em tecnologia da informação (TI) ;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1508.00.00;Serviços de manutenção de aplicativos e programas ;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1502.10.00;Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.07;Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.;1.1502.20.00;Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.08;Planejamento, Confecção, Manutenção E Atualização De Páginas Eletrônicas.;1.1502.30.00;Serviços de projeto e desenvolvimento de estruturas e conteúdo de páginas eletrônicas;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.08;Planejamento, Confecção, Manutenção E Atualização De Páginas Eletrônicas.;1.1502.30.00;Serviços de projeto e desenvolvimento de estruturas e conteúdo de páginas eletrônicas;100301;Domicílio principal do adquirente;200040;Fornecimento de serviços de comunicação institucional à administração pública;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.10.00;Serviços de oferta de livros, jornais, periódicos, diretórios e malas diretas de acesso imediato (on-line);100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.21.00;Serviços de oferta de áudio para download;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.22.00;Serviços de oferta de áudio de conteúdo contínuo (streaming);100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.31.00;Serviços de oferta de arquivos contendo filmes e vídeos para download;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.32.00;Serviços de oferta de filmes e vídeos de conteúdo contínuo (streaming);100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.91.00;Serviços de oferta de jogos de acesso imediato (on-line) ;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.92.00;Serviços de oferta de conteúdo de portais de busca na rede mundial de computadores;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
01.09;Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao ICMS). (Incluído Pela Lei Complementar Nº 157, De 2016);1.1703.99.00;Serviços de oferta de outros conteúdos de acesso imediato (on-line) não classificados em subposições anteriores;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.11.00;Serviços de pesquisa e desenvolvimento em ciências físicas;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.11.00;Serviços de pesquisa e desenvolvimento em ciências físicas;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.12.00;Serviços de pesquisa e desenvolvimento em química e biologia;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.12.00;Serviços de pesquisa e desenvolvimento em química e biologia;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.19.00;Serviços de pesquisa e desenvolvimento em ciências não classificadas em subposições anteriores;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.19.00;Serviços de pesquisa e desenvolvimento em ciências não classificadas em subposições anteriores;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.20.00;Serviços de pesquisa e desenvolvimento em biotecnologia;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.20.00;Serviços de pesquisa e desenvolvimento em biotecnologia;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.31.00;Serviços de pesquisa e desenvolvimento em Tecnologia da Informação e Comunicação (TIC);100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.31.00;Serviços de pesquisa e desenvolvimento em Tecnologia da Informação e Comunicação (TIC);100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.32.00;Serviços de pesquisa e desenvolvimento em nanotecnologia;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.32.00;Serviços de pesquisa e desenvolvimento em nanotecnologia;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.33.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia nucleares;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.33.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia nucleares;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.34.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia em micro-ondas de potência;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.34.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia em micro-ondas de potência;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.39.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia não classificados em subposições anteriores;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.39.00;Serviços de pesquisa e desenvolvimento em engenharia e tecnologia não classificados em subposições anteriores;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.40.00;Serviços de pesquisa e desenvolvimento em ciências médicas, odontológicas e farmacêuticas;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.40.00;Serviços de pesquisa e desenvolvimento em ciências médicas, odontológicas e farmacêuticas;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.50.00;Serviços de pesquisa e desenvolvimento em ciências agrárias;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.50.00;Serviços de pesquisa e desenvolvimento em ciências agrárias;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.90.00;Serviços de pesquisa e desenvolvimento em ciências, engenharia e tecnologia não classificados em subposições anteriores;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1201.90.00;Serviços de pesquisa e desenvolvimento em ciências, engenharia e tecnologia não classificados em subposições anteriores;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1202.10.00;Serviços de pesquisa e desenvolvimento em psicologia;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1202.10.00;Serviços de pesquisa e desenvolvimento em psicologia;100301;Domicílio principal do adquirente;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);;
02.01;Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.;1.1202.20.00;Serviços de pesquisa e desenvolvimento em ciências econômicas;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
